scene,path,n_voxels,alpha_mean,alpha_std,alpha_p50,alpha_p90,alpha_p95,alpha_p99,alpha_hist_entropy_64,occ_frac_gt_0p001,occ_entropy_gt_0p001,occ_frac_gt_0p01,occ_entropy_gt_0p01,occ_frac_gt_0p05,occ_entropy_gt_0p05,occ_frac_gt_0p1,occ_entropy_gt_0p1,occ_frac_gt_0p5,occ_entropy_gt_0p5
3dfront_0007_00,dataset/finetune/front3d_rpn_data/features/3dfront_0007_00.npz,2035200,0.09857279062271118,0.22342073917388916,0.0,0.38851477503776566,0.6878250956535339,0.990062912106514,2.428733762581219,0.29389298349056603,0.8736971149143913,0.2833485652515723,0.8599734414148332,0.2548958333333333,0.8189460195421018,0.21213639937106918,0.7455465925671032,0.07792256289308176,0.3948165748453078
3dfront_0008_00,dataset/finetune/front3d_rpn_data/features/3dfront_0008_00.npz,2926400,0.049551550298929214,0.14837254583835602,0.0,0.15353310108184826,0.34660841226577754,0.8285222369432442,1.6985773793428909,0.19643623564789503,0.7147430497873124,0.19037178786221978,0.7022485637146673,0.1665988928376162,0.6498650318318062,0.12741901312192455,0.5503170903876944,0.030524876981957355,0.19701729894327635
3dfront_0008_01,dataset/finetune/front3d_rpn_data/features/3dfront_0008_01.npz,2134400,0.08542083948850632,0.20430535078048706,0.0,0.29638505578041074,0.6052077949047084,0.9777502870559682,2.3787472747411105,0.2926831896551724,0.872162122923166,0.28429769490254875,0.8612408373260744,0.25591594827586206,0.8205207334877664,0.19423350824587707,0.7102440976248425,0.06322432533733133,0.34011349068842134
3dfront_0008_02,dataset/finetune/front3d_rpn_data/features/3dfront_0008_02.npz,1609920,0.0722019299864769,0.2089577168226242,0.0,0.22995012998580966,0.6222387343645095,0.9983391338586808,1.6625339642974324,0.18294263068972372,0.6864722840785838,0.17824301828662295,0.6762182999316456,0.1634174368912741,0.642422823252981,0.13974421089246672,0.5835685308375302,0.061557096004770426,0.3335952467866126
3dfront_0010_00,dataset/finetune/front3d_rpn_data/features/3dfront_0010_00.npz,2770560,0.06071534380316734,0.1557614505290985,0.0,0.188634729385376,0.3680751383304596,0.8628687709569964,2.17529448650506,0.2736251876876877,0.8466185898001342,0.2664894461769462,0.8363819848870037,0.23523331023331023,0.7870231720353431,0.168744224994225,0.654824019421383,0.0335646945021945,0.2119650528351988
3dfront_0012_00,dataset/finetune/front3d_rpn_data/features/3dfront_0012_00.npz,2698240,0.09826388210058212,0.19354106485843658,0.0,0.32001270651817326,0.5461085259914397,0.952037605643272,3.053919078501254,0.4162439219639469,0.9796630145900707,0.40561032376660344,0.9741379645837815,0.35656576138519924,0.9397955366359306,0.2635473493833017,0.8320523303236305,0.057188389468690703,0.3161812558989439
3dfront_0013_00,dataset/finetune/front3d_rpn_data/features/3dfront_0013_00.npz,2737600,0.0788525640964508,0.19511012732982635,0.0,0.2780330359935761,0.5507919281721114,0.9723125511407843,2.2654947376180505,0.27909227060198716,0.8542110154242448,0.2685655318527177,0.8393987254996879,0.2292833138515488,0.7767598649989343,0.18249305961426066,0.6855006634105324,0.056719023962594976,0.31428057388608055
3dfront_0016_00,dataset/finetune/front3d_rpn_data/features/3dfront_0016_00.npz,3247040,0.10714469850063324,0.22773419320583344,0.0,0.409468984603882,0.7023929476737976,0.9945949709415436,2.636038648827186,0.31703767123287674,0.9011308968642271,0.3130728294077067,0.8966887266480171,0.2882111091948359,0.8663991928091461,0.2414466714299793,0.7974377779529438,0.08106429240169508,0.40591823339127525
3dfront_0016_01,dataset/finetune/front3d_rpn_data/features/3dfront_0016_01.npz,1961120,0.10276442021131516,0.21709252893924713,0.0,0.3872766315937043,0.6515372991561872,0.9820030063390733,2.710032054421405,0.3454332218324223,0.9299232734325733,0.33067736803459247,0.9156169399381884,0.2917858162682549,0.8710169440194555,0.2394437872236273,0.7941140928568317,0.07489903728481684,0.3839454996542037
3dfront_0017_00,dataset/finetune/front3d_rpn_data/features/3dfront_0017_00.npz,2718720,0.08300209790468216,0.19729089736938477,0.0,0.2894329309463504,0.5563943237066264,0.9760242503881454,2.39343430342595,0.2941553378060264,0.8740286479021446,0.2871318120291902,0.8649873410896203,0.2522547375235405,0.814832279390058,0.19755583509887006,0.717012749198582,0.05741010475517891,0.31707703281280114
3dfront_0017_01,dataset/finetune/front3d_rpn_data/features/3dfront_0017_01.npz,2033120,0.07835680991411209,0.19345441460609436,0.0,0.2798862993717194,0.5412203907966588,0.9646390610933306,2.176507304663648,0.25690318328480366,0.8220371846206868,0.24971521602266467,0.8108264404410039,0.22879170929408987,0.7758990275563176,0.1879185685055481,0.6970969031669227,0.05540696073030613,0.3089357495062294
3dfront_0019_00,dataset/finetune/front3d_rpn_data/features/3dfront_0019_00.npz,2594880,0.06582179665565491,0.17067651450634003,0.0,0.2077380895614625,0.4242936611175534,0.9321801257133482,2.1970829891615233,0.27713458811197433,0.8515170460207975,0.26717767295597483,0.8373855578451169,0.2258578431372549,0.7707204124298219,0.16701966950302133,0.6508414220243611,0.040907093969663334,0.24643583489490825
3dfront_0022_00,dataset/finetune/front3d_rpn_data/features/3dfront_0022_00.npz,2084640,0.09036186337471008,0.18895530700683594,0.0,0.27155067920684817,0.5105903238058036,0.972443016171454,2.8857632866013363,0.3933648015964387,0.9669366788009506,0.3837511512779185,0.9606483154165915,0.34192042750786705,0.9266445774619232,0.24911879269322282,0.8098784541358792,0.051292789162637194,0.2918634554970311
3dfront_0022_01,dataset/finetune/front3d_rpn_data/features/3dfront_0022_01.npz,1276800,0.08376161754131317,0.18668289482593536,0.0,0.2799349665641786,0.50319761633873,0.9578314936161042,2.571519853922419,0.32747728696741857,0.9123281392404039,0.3200563909774436,0.9044427702758131,0.29339677318295737,0.873068753207225,0.22139645989974938,0.7627092125398848,0.050472274436090224,0.2883997675506422
3dfront_0023_00,dataset/finetune/front3d_rpn_data/features/3dfront_0023_00.npz,2473280,0.08786850422620773,0.19683344662189484,0.0,0.30393909811973585,0.5526305317878717,0.9756892853975296,2.5444031032313963,0.31896712058481047,0.9032547011304294,0.3113185729072325,0.8946896654635232,0.2878279046448441,0.8658988536345799,0.21929745115797644,0.7588825930233241,0.05750986544184241,0.31747965941473844
3dfront_0023_01,dataset/finetune/front3d_rpn_data/features/3dfront_0023_01.npz,2048000,0.07107426971197128,0.17022135853767395,0.0,0.23132035136222842,0.4374129772186277,0.9092846649885179,2.4224810628871394,0.313109375,0.8967301524021782,0.30389794921875,0.8860036596422752,0.25796533203125,0.8236604831287364,0.1871123046875,0.6953913874398863,0.04150732421875,0.2491610381655374
3dfront_0024_00,dataset/finetune/front3d_rpn_data/features/3dfront_0024_00.npz,2075360,0.11184518039226532,0.2310037612915039,0.0,0.4048931002616883,0.7280356347560876,0.9993487167358398,2.883577621871005,0.3742473594942564,0.9538775888542795,0.3638004972631254,0.9457927347192068,0.3231212898003238,0.9077435032288279,0.25248149718603036,0.8151875660837429,0.08147213013645825,0.40734520958360587
3dfront_0024_01,dataset/finetune/front3d_rpn_data/features/3dfront_0024_01.npz,2431680,0.07028146088123322,0.17212556302547455,0.0,0.2384721636772157,0.44386672973632746,0.9146221989393233,2.2660047220799298,0.27962355244111065,0.8549373671767011,0.2722553954467693,0.8446824024850544,0.24238921239636793,0.7989909318962232,0.18558774180813264,0.6921495613395026,0.04210915909988156,0.2518804095545139
3dfront_0025_00,dataset/finetune/front3d_rpn_data/features/3dfront_0025_00.npz,1526400,0.09674976766109467,0.18862614035606384,0.0,0.33370612859725957,0.5317152351140979,0.8993691194057466,2.9121342341241103,0.37703157756813416,0.9559185120051754,0.3705542452830189,0.9510967065120237,0.3409715670859539,0.9257453949434027,0.2672759433962264,0.8375285710118777,0.05558831236897275,0.3096773066589307
3dfront_0026_00,dataset/finetune/front3d_rpn_data/features/3dfront_0026_00.npz,2101920,0.06445200741291046,0.16258379817008972,0.0,0.20268068313598636,0.3942725569009777,0.8955644804239278,2.271723471458285,0.28580868919844715,0.863245331686237,0.28101117073913373,0.8568249457401883,0.23964137550430084,0.7944433905947477,0.17268925553779402,0.6638198377630435,0.03664078556748116,0.2266724011516138
3dfront_0026_01,dataset/finetune/front3d_rpn_data/features/3dfront_0026_01.npz,1483360,0.10756802558898926,0.23592117428779602,0.0,0.41636254787445076,0.7529995381832141,0.9994867932796478,2.547795792401784,0.30597966778125335,0.8884780371398343,0.30173592384856,0.8834025396504288,0.2778785999352821,0.852544126618134,0.22963879301046272,0.7773811070265018,0.08465443317872937,0.4183707023492096
3dfront_0027_00,dataset/finetune/front3d_rpn_data/features/3dfront_0027_00.npz,2837120,0.07920780777931213,0.18799486756324768,0.0,0.26672106981277477,0.5070043295621867,0.9674327886104583,2.390175217396956,0.29663919749605233,0.8771437981453503,0.2891400434243176,0.8676077912048423,0.2603499323257388,0.8272739661810211,0.19920729472140764,0.7203398485072633,0.05091430746672682,0.29026824652262817
3dfront_0028_00,dataset/finetune/front3d_rpn_data/features/3dfront_0028_00.npz,2579200,0.07244601100683212,0.16409149765968323,0.0,0.2224138677120209,0.40769556164741483,0.8878177809715262,2.581039173301226,0.34276132133995035,0.9274366210098833,0.3367691532258065,0.9216933999460184,0.298483638337469,0.879429404347407,0.202772952853598,0.7274394533971119,0.03785669975186104,0.23237742604161354
3dfront_0028_01,dataset/finetune/front3d_rpn_data/features/3dfront_0028_01.npz,3513920,0.0851173922419548,0.16411852836608887,0.0,0.2675556063652039,0.43155185580253586,0.8328402537107469,2.969291752425237,0.409313814770968,0.9761387547209832,0.40152393907658684,0.9718350643991988,0.3603058692286677,0.9429367907816779,0.26006169747746105,0.8268394605572008,0.038575721701120114,0.2357233782987579
3dfront_0029_00,dataset/finetune/front3d_rpn_data/features/3dfront_0029_00.npz,2519040,0.07220672816038132,0.16330254077911377,0.0,0.22257706522941592,0.39372821450233253,0.8934919309616051,2.5246528340509027,0.3260035569105691,0.9107910110280978,0.323486725101626,0.9081329171206444,0.29204180957825204,0.8713442013955712,0.21460516704776422,0.7501936245345082,0.03624833269817073,0.22481821860560422
3dfront_0030_00,dataset/finetune/front3d_rpn_data/features/3dfront_0030_00.npz,2502400,0.08965311199426651,0.20982451736927032,0.0,0.3056676030158997,0.6130377829074857,0.999332256913185,2.5579878384257264,0.33816775895140666,0.9230545751398916,0.32423273657289003,0.9089251467822416,0.2622854060102302,0.8301755359626292,0.20083320012787723,0.7235913685477335,0.06345028772378516,0.340991671572477
3dfront_0032_00,dataset/finetune/front3d_rpn_data/features/3dfront_0032_00.npz,1814400,0.07629044353961945,0.16951851546764374,0.0,0.23984738588333132,0.4278670221567146,0.9130734932422638,2.5955579392524317,0.3438321208112875,0.9284386601702803,0.3349041005291005,0.9198585984738248,0.30405257936507935,0.8861884712212031,0.21622409611992946,0.7532126315165435,0.04009424603174603,0.24272413687415695
3dfront_0033_00,dataset/finetune/front3d_rpn_data/features/3dfront_0033_00.npz,1152000,0.07190918922424316,0.17694692313671112,0.0,0.2408742189407348,0.4631127029657367,0.9315873265266419,2.2759291884336696,0.2775,0.85202198125583,0.27254774305555557,0.8450967781714952,0.24190538194444444,0.798194531108817,0.18489322916666667,0.6906654047343492,0.045046875,0.2649715988080241
3dfront_0033_01,dataset/finetune/front3d_rpn_data/features/3dfront_0033_01.npz,2208000,0.10593751072883606,0.21587955951690674,0.0,0.3714039981365207,0.6487441182136531,0.9892925691604599,2.8757224578946095,0.3706231884057971,0.9511493917492773,0.36113224637681157,0.9436190268099262,0.33069157608695654,0.9156313928120938,0.26032835144927535,0.8272414552014552,0.07218885869565217,0.3740394577659213
3dfront_0035_00,dataset/finetune/front3d_rpn_data/features/3dfront_0035_00.npz,3382400,0.06780734658241272,0.17224933207035065,0.0,0.22025290131568911,0.42836435437202447,0.9363008165359483,2.1625975668585995,0.26537872516556293,0.8347549542987921,0.25762653736991487,0.8231436225735349,0.23613292336802272,0.7885501063489524,0.17849929044465468,0.6767830224442937,0.041250591296121096,0.24799701271036645
