scene,rank,frame,score,nonwhite,nonblack,contrast,saturation,balance,path
3dfront_0033_01,14,0170,2.791501,1.000000,0.988594,0.191594,0.076985,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0170.jpg
3dfront_0033_01,15,0061,2.791451,1.000000,1.000000,0.200061,0.064222,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0061.jpg
3dfront_0033_01,16,0039,2.791266,1.000000,0.997917,0.192316,0.075609,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0039.jpg
3dfront_0033_01,17,0043,2.791126,1.000000,0.999167,0.192256,0.075523,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0043.jpg
3dfront_0033_01,18,0041,2.791019,1.000000,0.996563,0.178280,0.096354,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0041.jpg
3dfront_0033_01,19,0153,2.790844,1.000000,0.998281,0.193402,0.073451,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0153.jpg
3dfront_0033_01,20,0116,2.790728,1.000000,0.990573,0.192027,0.075370,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0116.jpg
3dfront_0033_01,21,0154,2.790570,1.000000,0.999635,0.191834,0.075462,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0154.jpg
3dfront_0033_01,22,0085,2.789956,1.000000,1.000000,0.194352,0.070917,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0085.jpg
3dfront_0033_01,23,0051,2.789800,1.000000,1.000000,0.195345,0.069233,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0051.jpg
3dfront_0033_01,24,0130,2.789202,1.000000,0.965781,0.184512,0.084735,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0130.jpg
3dfront_0033_01,25,0172,2.787279,1.000000,0.999948,0.191409,0.071984,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0172.jpg
3dfront_0033_01,26,0121,2.787231,1.000000,1.000000,0.191105,0.072382,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0121.jpg
3dfront_0033_01,27,0086,2.786904,1.000000,0.999896,0.194234,0.067279,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0086.jpg
3dfront_0033_01,28,0055,2.786785,1.000000,0.999740,0.191767,0.070830,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0055.jpg
3dfront_0033_01,29,0136,2.786407,1.000000,1.000000,0.192627,0.069069,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0136.jpg
3dfront_0033_01,30,0060,2.786214,1.000000,1.000000,0.165858,0.108982,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0060.jpg
3dfront_0033_01,31,0149,2.785978,1.000000,0.999948,0.184298,0.081025,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0149.jpg
3dfront_0033_01,32,0132,2.785581,1.000000,0.999896,0.185320,0.078997,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0132.jpg
3dfront_0033_01,33,0094,2.784555,1.000000,0.996667,0.182347,0.082174,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0094.jpg
3dfront_0033_01,34,0040,2.782832,1.000000,0.995313,0.180830,0.082295,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0040.jpg
3dfront_0033_01,35,0004,2.780974,1.000000,0.999896,0.184450,0.074543,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0004.jpg
3dfront_0033_01,36,0068,2.779598,1.000000,0.999896,0.187049,0.068923,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0068.jpg
3dfront_0045_00,1,0256,2.833742,1.000000,0.899792,0.202571,0.113322,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0256.jpg
3dfront_0045_00,2,0173,2.829972,1.000000,0.906510,0.205213,0.104645,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0173.jpg
3dfront_0045_00,3,0288,2.828483,1.000000,0.894375,0.198333,0.113103,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0288.jpg
3dfront_0045_00,4,0294,2.827645,1.000000,0.902344,0.206585,0.099680,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0294.jpg
3dfront_0045_00,5,0268,2.826707,1.000000,0.913958,0.192309,0.119922,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0268.jpg
3dfront_0045_00,6,0248,2.823210,1.000000,0.928281,0.193801,0.113311,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0248.jpg
3dfront_0045_00,7,0241,2.822121,1.000000,0.940000,0.188421,0.120020,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0241.jpg
3dfront_0045_00,8,0182,2.817968,1.000000,0.927552,0.202791,0.093273,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0182.jpg
3dfront_0045_00,9,0146,2.817502,1.000000,0.851250,0.204269,0.090474,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0146.jpg
3dfront_0045_00,10,0252,2.816798,1.000000,0.924792,0.199456,0.096814,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0252.jpg
3dfront_0045_00,11,0170,2.816483,1.000000,0.917917,0.197297,0.099659,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0170.jpg
3dfront_0045_00,12,0104,2.816462,1.000000,0.894740,0.177586,0.129199,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0104.jpg
3dfront_0045_00,13,0289,2.816254,1.000000,0.944115,0.189482,0.111094,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0289.jpg
3dfront_0045_00,14,0178,2.816077,1.000000,0.931979,0.189293,0.111157,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0178.jpg
3dfront_0045_00,15,0194,2.815399,1.000000,0.939635,0.201666,0.091750,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0194.jpg
3dfront_0045_00,16,0282,2.814885,1.000000,0.957604,0.176112,0.129439,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0282.jpg
3dfront_0045_00,17,0187,2.814071,1.000000,0.919323,0.196231,0.098242,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0187.jpg
3dfront_0045_00,18,0266,2.812830,1.000000,0.942500,0.191299,0.104089,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0266.jpg
3dfront_0045_00,19,0148,2.812011,1.000000,0.898594,0.197496,0.093770,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0148.jpg
3dfront_0045_00,20,0149,2.811599,1.000000,0.889635,0.195855,0.095717,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0149.jpg
3dfront_0045_00,21,0097,2.810980,1.000000,0.906927,0.171934,0.130824,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0097.jpg
3dfront_0045_00,22,0092,2.810741,1.000000,0.901510,0.171598,0.131030,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0092.jpg
3dfront_0045_00,23,0175,2.810695,1.000000,0.946719,0.182807,0.114157,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0175.jpg
3dfront_0045_00,24,0206,2.810476,1.000000,0.934115,0.190359,0.102557,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0206.jpg
3dfront_0045_00,25,0234,2.810447,1.000000,0.931719,0.188295,0.105617,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0234.jpg
3dfront_0045_00,26,0167,2.809906,1.000000,0.931042,0.199021,0.088851,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0167.jpg
3dfront_0045_00,27,0237,2.809676,1.000000,0.912917,0.194729,0.095001,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0237.jpg
3dfront_0045_00,28,0300,2.809671,1.000000,0.929375,0.197299,0.091140,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0300.jpg
3dfront_0045_00,29,0183,2.808998,1.000000,0.963437,0.164924,0.138862,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0183.jpg
3dfront_0045_00,30,0283,2.808844,1.000000,0.932292,0.197987,0.089075,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0283.jpg
3dfront_0045_00,31,0006,2.808818,1.000000,0.824010,0.216474,0.061311,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0006.jpg
3dfront_0045_00,32,0297,2.808610,1.000000,0.949948,0.192725,0.096674,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0297.jpg
3dfront_0045_00,33,0099,2.807174,1.000000,0.952969,0.156549,0.149144,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0099.jpg
3dfront_0045_00,34,0169,2.806406,1.000000,0.922813,0.186390,0.103422,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0169.jpg
3dfront_0045_00,35,0230,2.806327,1.000000,0.959375,0.192464,0.094212,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0230.jpg
3dfront_0045_00,36,0103,2.806325,1.000000,0.914271,0.167537,0.131600,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0045_00/train/images/0103.jpg
3dfront_0131_00,1,0218,2.827600,1.000000,0.984427,0.217355,0.083467,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0218.jpg
3dfront_0131_00,2,0224,2.826689,1.000000,0.973906,0.217164,0.082616,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0224.jpg
3dfront_0131_00,3,0134,2.824853,1.000000,0.968385,0.210089,0.090933,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0134.jpg
3dfront_0131_00,4,0098,2.823450,1.000000,0.979688,0.207252,0.093434,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0098.jpg
3dfront_0131_00,5,0191,2.823247,1.000000,0.977187,0.215053,0.081480,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0191.jpg
3dfront_0131_00,6,0197,2.822139,1.000000,0.976250,0.209560,0.088335,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0197.jpg
3dfront_0131_00,7,0101,2.820722,1.000000,0.978073,0.210974,0.084441,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0101.jpg
3dfront_0131_00,8,0177,2.819996,1.000000,0.985677,0.216837,0.074740,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0177.jpg
3dfront_0131_00,9,0142,2.819808,1.000000,0.976979,0.204742,0.092646,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0142.jpg
3dfront_0131_00,10,0233,2.819682,1.000000,0.979219,0.198410,0.101987,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0233.jpg
3dfront_0131_00,11,0150,2.819380,1.000000,0.965573,0.213440,0.079064,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0150.jpg
3dfront_0131_00,12,0124,2.819220,1.000000,0.980052,0.212904,0.079670,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0124.jpg
3dfront_0131_00,13,0160,2.818024,1.000000,0.975625,0.213587,0.077149,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0160.jpg
3dfront_0131_00,14,0171,2.817335,1.000000,0.994271,0.218747,0.068547,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0171.jpg
3dfront_0131_00,15,0180,2.817332,1.000000,0.966510,0.217080,0.071046,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0180.jpg
3dfront_0131_00,16,0108,2.816199,1.000000,0.984844,0.213286,0.075320,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0108.jpg
3dfront_0131_00,17,0154,2.815743,1.000000,0.978802,0.207601,0.083277,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0154.jpg
3dfront_0131_00,18,0194,2.814930,1.000000,0.992344,0.206964,0.083216,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0194.jpg
3dfront_0131_00,19,0186,2.812897,1.000000,0.979792,0.210251,0.075745,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0186.jpg
3dfront_0131_00,20,0213,2.812764,1.000000,0.993281,0.205955,0.082022,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0213.jpg
3dfront_0131_00,21,0210,2.812382,1.000000,0.977760,0.211537,0.073172,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0210.jpg
3dfront_0131_00,22,0103,2.812332,1.000000,0.990521,0.198567,0.092564,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0103.jpg
3dfront_0131_00,23,0109,2.811856,1.000000,0.981927,0.186586,0.109942,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0109.jpg
3dfront_0131_00,24,0120,2.811298,1.000000,0.990625,0.193024,0.099587,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0120.jpg
3dfront_0131_00,25,0209,2.810600,1.000000,0.980625,0.210691,0.072213,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0209.jpg
3dfront_0131_00,26,0226,2.810480,1.000000,0.976302,0.188299,0.105651,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0226.jpg
3dfront_0131_00,27,0139,2.809946,1.000000,0.989062,0.191897,0.099587,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0139.jpg
3dfront_0131_00,28,0132,2.809916,1.000000,0.986042,0.211733,0.069796,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0132.jpg
3dfront_0131_00,29,0106,2.809730,1.000000,0.988229,0.189812,0.102444,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0106.jpg
3dfront_0131_00,30,0175,2.809597,1.000000,0.981094,0.184779,0.109828,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0175.jpg
3dfront_0131_00,31,0114,2.809480,1.000000,0.980469,0.192510,0.098085,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0114.jpg
3dfront_0131_00,32,0133,2.809305,1.000000,0.981667,0.183011,0.112115,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0133.jpg
3dfront_0131_00,33,0229,2.808747,1.000000,0.974635,0.207710,0.074368,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0229.jpg
3dfront_0131_00,34,0102,2.807259,1.000000,0.987292,0.185030,0.106529,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0102.jpg
3dfront_0131_00,35,0188,2.806834,1.000000,0.986302,0.199724,0.083957,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0188.jpg
3dfront_0131_00,36,0240,2.806775,1.000000,0.981510,0.196725,0.088382,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0131_00/train/images/0240.jpg
3dfront_0135_00,1,0258,2.837067,1.000000,0.823906,0.218987,0.092854,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0258.jpg
3dfront_0135_00,2,0284,2.828796,1.000000,0.859115,0.226105,0.071838,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0284.jpg
3dfront_0135_00,3,0270,2.828504,0.999635,0.822396,0.226587,0.071849,0.998899,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0270.jpg
3dfront_0135_00,4,0146,2.828100,1.000000,0.875990,0.208846,0.096856,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0146.jpg
3dfront_0135_00,5,0276,2.827764,1.000000,0.845208,0.216667,0.084704,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0276.jpg
3dfront_0135_00,6,0188,2.826874,1.000000,0.989948,0.204197,0.102297,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0188.jpg
3dfront_0135_00,7,0271,2.826617,1.000000,0.823906,0.219059,0.079682,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0271.jpg
3dfront_0135_00,8,0163,2.826286,1.000000,0.861302,0.219696,0.078314,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0163.jpg
3dfront_0135_00,9,0135,2.825162,1.000000,0.851719,0.223085,0.071825,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0135.jpg
3dfront_0135_00,10,0184,2.824696,1.000000,0.905833,0.205511,0.097603,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0184.jpg
3dfront_0135_00,11,0208,2.824180,1.000000,0.871667,0.221798,0.072528,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0208.jpg
3dfront_0135_00,12,0229,2.823919,1.000000,0.859479,0.215978,0.080932,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0229.jpg
3dfront_0135_00,13,0201,2.823653,1.000000,0.964896,0.217687,0.078036,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0201.jpg
3dfront_0135_00,14,0189,2.822737,1.000000,0.947604,0.213500,0.083171,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0189.jpg
3dfront_0135_00,15,0168,2.822595,1.000000,0.907969,0.216852,0.077967,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0168.jpg
3dfront_0135_00,16,0202,2.822525,1.000000,0.969844,0.197059,0.107568,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0202.jpg
3dfront_0135_00,17,0251,2.822015,1.000000,0.907500,0.216004,0.078514,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0251.jpg
3dfront_0135_00,18,0152,2.821902,1.000000,0.915677,0.220825,0.071140,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0135_00/train/images/0152.jpg
